country,pop1,pop2,pop3,pop1PC,pop2PC,pop3PC,pcEN,pcES,pcFR,motivSchool,motivWork,motivTravel,motivBrain,motivFamily,motivCulture,motivOther,ui1,ui2,ui1PC,ui2PC,covidPop1,covidPop2,covidPop3,covidSchool,covidWork,covidTravel,covidBrain,covidFamily,covidCulture,covidOther
Singapore,Japanese,English,Spanish,0.139524992,0.128841307,0.123623909,0.128841307,0.123623909,0.118917292,0.161297864,0.145645717,0.147701855,0.162790821,0.109405633,0.11449019,0.158667921,English,Chinese,0.552743267,0.07444961,Japanese,English,Korean,0.145589855,0.140646409,0.132317778,0.183203031,0.113994788,0.120765159,0.16348298
Slovakia,English,German,Spanish,0.372090919,0.128209659,0.116936396,0.372090919,0.116936396,0.06109798,0.215911526,0.150601802,0.209786376,0.17304178,0.099111475,0.049965341,0.1015817,English,Czech,0.420874928,0.30624188,English,Spanish,German,0.222204442,0.132752992,0.198169366,0.187447993,0.099788773,0.052102669,0.107533764
Slovenia,German,Spanish,Italian,0.23145394,0.175049899,0.120936491,0.072210516,0.175049899,0.096078682,0.185829514,0.143446379,0.171824015,0.186892759,0.112208983,0.073253896,0.126544455,English,German,0.595986946,0.029700383,German,Spanish,Italian,0.182070769,0.117267304,0.156574324,0.204380159,0.125357522,0.078777478,0.135572444
Somalia,English,Turkish,Arabic,0.287582584,0.135194411,0.11800065,0.287582584,0.099263511,0.08358605,0.25829865,0.120495381,0.108060095,0.15125368,0.156227794,0.093493046,0.112171353,English,Arabic,0.490712661,0.229042565,English,Turkish,Arabic,0.242644733,0.1274913,0.102815565,0.15469788,0.164504904,0.096804809,0.11104081
South-Africa,French,Spanish,German,0.204245258,0.19658843,0.108040251,0.045127896,0.19658843,0.204245258,0.115962291,0.105998065,0.149436766,0.230380017,0.139547993,0.096375596,0.162299273,English,Arabic,0.65447172,0.012285842,Spanish,French,German,0.109964103,0.093035111,0.131969668,0.25404108,0.14106077,0.103974171,0.165955097
South-Korea,English,Korean,Spanish,0.569992847,0.089908329,0.078042454,0.569992847,0.078042454,0.0481427,0.209638648,0.105385075,0.212261013,0.131810257,0.146721315,0.085748904,0.108434788,Korean,English,0.539224988,0.266111419,English,Korean,Spanish,0.248299935,0.097081033,0.188349164,0.130957182,0.1426108,0.082367993,0.110333894
Spain,English,French,Spanish,0.461368829,0.130680439,0.098680247,0.461368829,0.098680247,0.130680439,0.292880121,0.153916714,0.140556761,0.114811798,0.088351845,0.11533747,0.09414529,Spanish,English,0.586418982,0.142322901,English,French,Italian,0.299811121,0.159141314,0.11600593,0.121704781,0.084511962,0.125531094,0.093293797
Sri-Lanka,French,Spanish,English,0.186082563,0.156387438,0.098076592,0.098076592,0.156387438,0.186082563,0.175488455,0.14318896,0.16540511,0.195901079,0.111791228,0.079355103,0.128870064,English,Russian,0.61430786,0.022185221,French,Spanish,Japanese,0.148997135,0.135762041,0.149270023,0.22663392,0.116250512,0.085277664,0.137808705
St-Lucia,Spanish,French,English,0.412269531,0.301644427,0.041747412,0.041747412,0.412269531,0.301644427,0.32032032,0.118404118,0.120692121,0.191906192,0.095381095,0.055198055,0.098098098,English,Spanish,0.715574996,0.024860196,Spanish,French,English,0.405078597,0.107617896,0.087061669,0.188633615,0.090084643,0.032043531,0.089480048
St-Vincent-Grenadines,Spanish,French,English,0.449403447,0.259942554,0.045956695,0.045956695,0.449403447,0.259942554,0.281445646,0.130051224,0.132327832,0.198064883,0.110984633,0.044393853,0.102731929,English,Spanish,0.73199293,0.025629695,Spanish,French,English,0.279843444,0.146771037,0.113502935,0.191780822,0.105675147,0.048923679,0.113502935
